author,text,likes,published_at,sentiment
@alimony4golddiggers,That's why USA is best,1,2025-05-30T10:54:40Z,Positive
@OrangeArmy-r1w,Ye to aisa ho gaya ki ANI pure duniya me ghum ghum ke News aaye aur fair use ka loophole nikal ke log 10 sec se niche ka video daal ke paise kama le. Use karne se pahle baat kar lo unse lekin nahi jab unka reaction aayega tab rona macha denge. Jis ANI ka source of Income hi subscription pe tika hua hai waha se bhi tumhe free me hi chahiye to wo kya bhandara laga de kya.  Baki News channel ka use kar lo koi issue mahi hoga lekin ANI aur PTI subscription basis pe hi chalte hai to wo kya free me hi baat de sabko. Mohak ho kya dusre politcal creators wo samaj seva to kar nahi rahe wo bhi to kama hi rahe hai na. Dono ke bich communication ache se hona chahiye tha. Dono ne bahut galti ki hai mamle ko jyada uchal ke. Saare social media pe log ANI ko gariyane lag gaye the jabki galti Mohak ki bhi thi to wo to case karenge hi apne reputation bachane ke liye,1,2025-05-30T10:18:41Z,Positive
@vishalbaru7192,ANI koi gian nahi he 2 take ki news agency he. Agar sahi law order india me ho to banned ho jana chahie ANI . Kya right he ANI ka ki vo india deplomate and govt ke pc or footage ke liye priority kyi di ja rahi he. Koi or kyu nahi. Bas bandh kar do previlage fir dekho,2,2025-05-30T10:12:45Z,Negative
@gamerarena9085,Mohak magnal congrees Dala hai,2,2025-05-30T10:07:31Z,Neutral
@Sujan.Adhikary,one sided video,1,2025-05-30T10:06:03Z,Neutral
@JasminTatmiya,Gov ke har video me ANI ka hi mic hota he. Gov ka khudh ka plateform ya channel hona chahiye jaha se video free me use kar sake for review and criticism. Agar ANI ko hi sara access hoga gov ke sabhi videos ka to koi bhi usse use nahi kar payega review ya criticism ke liye.,3,2025-05-30T09:58:19Z,Negative
@gamirodigital5689,"Ani news is unverified, and when they are verified by youtubers they use copyright",0,2025-05-30T09:57:42Z,Neutral
@gaurav_suryavanshi1,Its not about fair use . Its about using there content without permission even for 5 seconds or 5 minutes.,4,2025-05-30T09:22:21Z,Neutral
@chiluxr250,Indian judges should remember that our pharma industry developed  based on the principle of fair use. We basically ripped off large corporations of their medicine forumulas and made generic medicines. It was their research in first place. Without fair use their won't be any generic medicines in India. Fair use is most important part of any progresive society.,21,2025-05-30T09:20:57Z,Positive
@Flexify007,BAN ANI MAFIA...,18,2025-05-30T09:15:08Z,Negative
@pikkoesssanphuii2357,"Extortion is not a crime in India
But saying it ""that guy extorted money from me "" is a crime......",48,2025-05-30T09:05:57Z,Neutral
@sifr-in,"6:05
अगर लॉक क्लियर नहीं है तो exploitation ke chances badhate hain!
यह अपने आप में न्याय के विरुद्ध है",1,2025-05-30T09:05:38Z,Neutral
@sifr-in,"मोहक की गलती है तो भी वह इतनी बड़ी नहीं है।
लेकिन ani बहुत गलत पेश आया है इस सिचुएशन में",2,2025-05-30T08:56:38Z,Neutral
@Bombieuser,3:24 😂 1957 us time toh youtube hi nahi tha,1,2025-05-30T08:32:19Z,Neutral
@Bombieuser,2:54  youtube ka fair use ka koi matlab hi nahi matlab,0,2025-05-30T08:31:59Z,Positive
